sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2022-05-27;"2,058.10";"2,016.10";"2,058.10";;1;
2022-05-25;"2,019.78";"1,981.82";"1,981.82";;1;
2022-05-24;"2,017.99";"1,995.18";"2,001.10";;1;
2022-05-23;"2,025.14";"1,998.84";"2,018.87";;1;
2022-05-20;"2,020.10";"1,987.78";"1,994.09";;1;
2022-05-19;"1,997.35";"1,967.43";"1,992.40";;1;
2022-05-18;"2,038.75";"2,001.25";"2,002.54";;1;
2022-05-17;"2,039.86";"2,013.88";"2,027.34";;1;
2022-05-16;"2,021.33";"1,996.25";"2,004.49";;1;
2022-05-13;"2,015.90";"1,979.55";"2,011.33";;1;
2022-05-12;"1,976.82";"1,936.37";"1,973.48";;1;
2022-05-11;"1,977.66";"1,943.05";"1,977.47";;1;
2022-05-10;"1,973.59";"1,924.85";"1,943.11";;1;
2022-05-09;"1,958.85";"1,908.97";"1,914.82";;1;
2022-05-06;"1,980.66";"1,939.25";"1,962.00";;1;
2022-05-05;"2,045.18";"1,981.77";"1,985.13";;1;
2022-05-04;"2,033.47";"2,008.97";"2,011.12";;1;
2022-05-03;"2,041.00";"2,024.17";"2,034.46";;1;
2022-05-02;"2,041.74";"1,895.41";"2,020.41";;1;
2022-04-29;"2,075.31";"2,042.98";"2,058.90";;1;
2022-04-28;"2,066.40";"2,024.14";"2,038.56";;1;
2022-04-27;"2,059.76";"2,011.88";"2,048.69";;1;
2022-04-26;"2,079.75";"2,018.33";"2,018.33";;1;
2022-04-25;"2,071.75";"2,041.65";"2,050.64";;1;
2022-04-22;"2,118.33";"2,088.10";"2,094.94";;1;
2022-04-21;"2,143.36";"2,104.42";"2,126.44";;1;
2022-04-20;"2,128.83";"2,095.96";"2,109.10";;1;
2022-04-19;"2,102.92";"2,066.70";"2,097.89";;1;
2022-04-13;"2,107.13";"2,080.21";"2,098.58";;1;
2022-04-12;"2,113.96";"2,063.92";"2,102.20";;1;
2022-04-11;"2,127.66";"2,091.16";"2,097.71";;1;
2022-04-08;"2,133.79";"2,117.08";"2,131.86";;1;
2022-04-07;"2,123.88";"2,095.04";"2,108.04";;1;
2022-04-06;"2,136.14";"2,080.34";"2,101.21";;1;
2022-04-05;"2,149.03";"2,123.91";"2,132.52";;1;
2022-04-04;"2,142.33";"2,101.18";"2,136.44";;1;
2022-04-01;"2,122.13";"2,086.17";"2,119.62";;1;
2022-03-31;"2,140.75";"2,092.78";"2,095.17";;1;
2022-03-30;"2,148.38";"2,107.68";"2,130.30";;1;
2022-03-29;"2,175.17";"2,134.84";"2,154.38";;1;
2022-03-28;"2,139.01";"2,113.83";"2,124.93";;1;
2022-03-25;"2,135.18";"2,100.20";"2,106.52";;1;
2022-03-24;"2,158.66";"2,127.53";"2,134.16";;1;
2022-03-23;"2,190.66";"2,140.73";"2,155.64";;1;
2022-03-22;"2,193.88";"2,169.22";"2,182.78";;1;
2022-03-21;"2,188.22";"2,166.49";"2,181.05";;1;
2022-03-18;"2,178.83";"2,148.61";"2,178.83";;1;
2022-03-17;"2,186.82";"2,144.69";"2,159.00";;1;
2022-03-16;"2,172.45";"2,121.45";"2,167.15";;1;
